"partialQEP";"impliedPartialQEPs"
"2126";"1431, 134, 13"
"610";"448"
"269";"153, 140"
"2817";"90, 13"
"2476";"884, 140"
"2135";"209, 210"
"1480";"573, 562, 94"
"4342";"653, 673, 94"
"1794";"743, 740, 94"
"1139";"628"
"4001";"134, 13"
"1830";"167, 18"
"2548";"510, 435"
"2144";"4348, 281, 13"
"1489";"216, 217"
"2862";"134, 13"
"1803";"189, 87"
"1148";"1127, 789, 1109, 1067, 1047, 1178, 1121, 1111, 1066, 1166, 744, 1140, 1108, 1056, 1129, 1037"
"1462";"134, 13"
"807";"785"
"1121";"1127, 789, 1109, 1067, 1066, 1166, 744, 1140, 1108, 1129"
"1902";"2415, 90, 13"
"2216";"281, 13"
"1561";"134, 13"
"4423";"1958, 1731, 18, 515"
"1157";"94"
"1875";"3685, 90, 13"
"816";"778, 787, 235"
"1471";"209, 210"
"4082";"216, 217"
"1130";"1181, 1076"
"3023";"216, 217"
"475";"238"
"1911";"172, 175"
"2225";"806, 18"
"1570";"172, 175"
"3777";"3654, 13, 2909, 281, 2864"
"1884";"2876, 90, 13"
"1229";"281, 13"
"4091";"90, 13"
"888";"886, 94"
"170";"116"
"3436";"209, 210"
"3750";"167, 18"
"484";"483"
"3095";"167, 18"
"143";"144, 51"
"2691";"281, 13"
"3409";"744"
"1238";"209, 210"
"897";"883, 881, 892"
"3445";"134, 13"
"556";""
"3104";"2377, 90, 13"
"215";"39"
"2108";"3584, 757"
"2763";"4577, 134, 13"
"2422";"930, 936"
"4629";"1295, 2264, 13, 281, 1998"
"2736";"4561, 281, 13, 1785"
"2458";"2532, 90, 13"
"565";"574, 569, 306, 555"
"3176";"4527, 134, 13"
"3490";"172, 175"
"2772";"167, 18"
"2117";"3811, 90, 13"
"1776";"529, 531, 94"
"2431";"3776, 13, 281, 2004, 2783"
"2090";"456, 457, 81"
"1435";"4507, 90, 13"
"4297";"1194, 134, 13"
"1749";"742, 732, 94"
"3185";"3568, 134, 13"
"2844";"134, 13"
"1785";"281, 13"
"2440";"167, 18"
"2503";"4190, 90, 13"
"2099";"1702"
"4710";"94"
"1444";"281, 13"
"3651";"134, 13"
"1758";"90, 13"
"1103";"1016, 1028"
"2539";"3240, 134, 13"
"2198";"172, 175"
"2853";"90, 13"
"4405";"4551, 134, 13"
"1857";"189, 87"
"2512";"189, 87"
"4719";"207, 199"
"4064";"1298, 134, 13"
"1453";"2589, 90, 13"
"798";""
"4378";"536, 13"
"3723";"90, 13"
"3660";"257"
"1112";"914"
"2207";"134, 13"
"4414";"134, 13"
"1866";"281, 4371, 13, 2062"
"1525";"207, 199"
"4073";"134, 13"
"3732";"3561, 90, 13"
"1184";"189, 87"
"466";"305"
"4046";"1651, 90, 13"
"780";"306"
"3391";"209, 210"
"3705";"817, 18"
"1534";"167, 18"
"4459";"90, 13"
"3741";"167, 18"
"1193";"2730, 90, 13"
"3086";"2494, 524"
"2745";"2380, 3342, 13, 1187, 281"
"3400";"536, 13"
"2404";"216, 217"
"3059";"134, 13"
"2718";"1284, 90, 13"
"3813";"658, 663, 94"
"547";"435"
"3472";"207, 199"
"2754";"216, 217"
"2413";"3221, 90, 13"
"3068";"167, 18"
"2072";"216, 217"
"2727";"510, 435"
"2386";"90, 13"
"3822";"2675, 134, 13"
"3167";"1469, 893, 878, 21, 729, 879, 884, 140, 768, 235, 1532"
"3481";"3482, 90, 13"
"2826";"2432, 4186, 281, 13"
"3140";"907, 870, 94"
"4692";"18, 2421, 3153, 515"
"2081";"2953, 90, 13"
"2799";"605, 448"
"4288";"237"
"1740";"2102, 134, 13"
"1265";"4025, 90, 13"
"2835";"90, 13"
"2494";"524"
"4701";"167, 18"
"2153";"189, 87"
"4360";"207, 199"
"1812";"3484, 134, 13"
"4674";"167, 18"
"4019";"134, 13"
"4333";"134, 13"
"2162";"167, 18"
"4369";"1391, 134, 13"
"3714";"189, 87"
"1821";"172, 175"
"4028";"134, 13"
"3373";"189, 87"
"3687";"216, 217"
"287";""
"3346";"2596, 134, 13"
"4441";"2920, 281, 13"
"4100";"3624, 90, 13"
"4037";"3428, 90, 13"
"3382";"3384, 281, 13, 4327"
"3696";"13, 4717, 281, 1452, 4356"
"3041";"2810, 806, 18"
"2700";"3660, 257"
"3355";"167, 18"
"3014";"3382, 4327, 13, 281, 3384"
"4136";"167, 18"
"4450";"2016, 1019, 140"
"843";"837, 94"
"4109";"167, 18"
"3768";"4494, 134, 13"
"3050";"1249, 134, 13"
"2709";"207, 199"
"3364";"216, 217"
"1893";"134, 13"
"3804";"1638, 134, 13"
"4118";"189, 87"
"3463";"558, 557, 94"
"3122";"1982, 515, 18"
"2063";"4406, 795, 18"
"2377";"90, 13"
"161";""
"3131";"90, 13"
"2790";"90, 13"
"2449";"134, 13"
"4656";"90, 13"
"915";""
"4315";"167, 18"
"574";"569, 306"
"4351";""
"4665";"207, 199"
"4010";"456, 457, 81"
"4324";"3019, 281, 13"
"924";"933"
"3669";"207, 199"
"583";"587, 584, 579, 7, 580"
"3983";"3429, 1418, 13, 281, 2362"
"3328";"817, 18"
"242";""
"4396";"4529, 134, 13"
"3678";"209, 210"
"3992";"134, 13"
"3337";"4353, 90, 13"
"251";"252"
"4432";"216, 217"
"2530";"2084, 134, 13"
"2189";"209, 210"
"789";""
"3759";"172, 175"
"3418";"1421, 281, 13"
"3077";"207, 199"
"1543";"207, 199"
"1202";"657, 664, 94"
"1516";"90, 13"
"3427";"828, 836, 94"
"4638";"209, 210"
"1552";"3474, 90, 13"
"4611";"189, 87"
"1211";"4461, 515, 18"
"870";"94"
"529";"531, 94"
"4647";"216, 217"
"4306";"172, 175"
"1220";"90, 13"
"4620";"209, 210"
"3965";"4188, 134, 13"
"879";"235"
"224";"222, 223"
"538";"539, 537"
"197";"196, 195"
"3974";"281, 13, 1332, 2457"
"637";"636, 642"
"233";""
"3499";"207, 199"
"296";"33"
"951";"773"
"3158";"134, 13"
"206";"95"
"1417";"189, 87"
"4728";"167, 18"
"4387";"2437, 90, 13"
"305";""
"619";"610, 448"
"2171";"1761, 13, 281, 3165, 1504"
"278";"258"
"1767";"90, 13"
"2485";"172, 175"
"1426";"134, 13"
